budget,dp,oracle,pair_agreement,pair_avg_kl_victim_to_stolen,pair_prompt_cos_sim,pair_prompt_l2_dist,seed,stolen_acc,stolen_avg_conf,stolen_f1,stolen_num_labels,stolen_pos_rate,stolen_prompt_len,stolen_prompt_norm,stolen_prompt_path,stolen_task,task,victim_acc,victim_avg_conf,victim_f1,victim_num_labels,victim_pos_rate,victim_prompt_len,victim_prompt_norm,victim_prompt_path,victim_task
200,False,probs,0.823841059602649,0.2038209661530161,0.0731978788971901,31.5616397857666,42,0.7453897096281202,0.6381255332025654,nan,3,nan,20,5.775017738342285,checkpoints/mnli/stolen_mnli_nodp_budget200_seed42_soft.pt,mnli,mnli,0.7946001018848701,0.8087902782282779,nan,3,nan,20,31.454397201538086,checkpoints/mnli/victim_mnli_P20_seed42.pt,mnli
500,False,probs,0.8793683138053999,0.14849268077923458,0.06332618743181229,31.790281295776367,42,0.7727967396841569,0.68501776366348,nan,3,nan,20,7.0128655433654785,checkpoints/mnli/stolen_mnli_nodp_budget500_seed42_soft.pt,mnli,mnli,0.7946001018848701,0.8087902782282779,nan,3,nan,20,31.454397201538086,checkpoints/mnli/victim_mnli_P20_seed42.pt,mnli
1000,False,probs,0.8957717778909832,0.10683453157658002,0.0726027712225914,31.78692626953125,42,0.7755476311767703,0.7135366963538599,nan,3,nan,20,7.4066314697265625,checkpoints/mnli/stolen_mnli_nodp_budget1000_seed42_soft.pt,mnli,mnli,0.7946001018848701,0.8087902782282779,nan,3,nan,20,31.454397201538086,checkpoints/mnli/victim_mnli_P20_seed42.pt,mnli
5000,False,probs,0.9310239429444728,0.04384954363464459,0.08499327301979065,32.335628509521484,42,0.7873662761079979,0.7613956768173863,nan,3,nan,20,10.633370399475098,checkpoints/mnli/stolen_mnli_nodp_budget5000_seed42_soft.pt,mnli,mnli,0.7946001018848701,0.8087902782282779,nan,3,nan,20,31.454397201538086,checkpoints/mnli/victim_mnli_P20_seed42.pt,mnli
200,False,probs,0.8117167600611309,0.21271038786586424,0.07676079869270325,22.13104248046875,43,0.7392766174223128,0.6350732609014759,nan,3,nan,20,5.743533611297607,checkpoints/mnli/stolen_mnli_nodp_budget200_seed43_soft.pt,mnli,mnli,0.7925624044829342,0.8030400614804051,nan,3,nan,20,21.81818389892578,checkpoints/mnli/victim_mnli_P20_seed43.pt,mnli
500,False,probs,0.8626591951095263,0.17542684538535663,0.069162517786026,22.40272331237793,43,0.7576158940397351,0.6454369932185371,nan,3,nan,20,6.812387466430664,checkpoints/mnli/stolen_mnli_nodp_budget500_seed43_soft.pt,mnli,mnli,0.7925624044829342,0.8030400614804051,nan,3,nan,20,21.81818389892578,checkpoints/mnli/victim_mnli_P20_seed43.pt,mnli
1000,False,probs,0.9229750382068262,0.08916758699072179,0.09652599692344666,22.367860794067383,43,0.7803362200713194,0.7083815426469395,nan,3,nan,20,7.465462684631348,checkpoints/mnli/stolen_mnli_nodp_budget1000_seed43_soft.pt,mnli,mnli,0.7925624044829342,0.8030400614804051,nan,3,nan,20,21.81818389892578,checkpoints/mnli/victim_mnli_P20_seed43.pt,mnli
5000,False,probs,0.947427407030056,0.02450533386773439,0.0560147799551487,24.161623001098633,43,0.7855323484462557,0.7774842558135442,nan,3,nan,20,11.674151420593262,checkpoints/mnli/stolen_mnli_nodp_budget5000_seed43_soft.pt,mnli,mnli,0.7925624044829342,0.8030400614804051,nan,3,nan,20,21.81818389892578,checkpoints/mnli/victim_mnli_P20_seed43.pt,mnli
200,False,probs,0.8407539480387163,0.1425280979107183,0.05346721410751343,25.143600463867188,44,0.7684156902699949,0.6647051400696204,nan,3,nan,20,5.418823719024658,checkpoints/mnli/stolen_mnli_nodp_budget200_seed44_soft.pt,mnli,mnli,0.7809475292919001,0.7957867648124209,nan,3,nan,20,24.844175338745117,checkpoints/mnli/victim_mnli_P20_seed44.pt,mnli
500,False,probs,0.8763117677024962,0.1191178069771156,0.08146445453166962,25.169836044311523,44,0.7733061640346408,0.6763675518686894,nan,3,nan,20,6.5387864112854,checkpoints/mnli/stolen_mnli_nodp_budget500_seed44_soft.pt,mnli,mnli,0.7809475292919001,0.7957867648124209,nan,3,nan,20,24.844175338745117,checkpoints/mnli/victim_mnli_P20_seed44.pt,mnli
1000,False,probs,0.8992358634742741,0.07091584348945792,0.08218540996313095,25.32801055908203,44,0.7739174732552216,0.7196040537790929,nan,3,nan,20,7.3751301765441895,checkpoints/mnli/stolen_mnli_nodp_budget1000_seed44_soft.pt,mnli,mnli,0.7809475292919001,0.7957867648124209,nan,3,nan,20,24.844175338745117,checkpoints/mnli/victim_mnli_P20_seed44.pt,mnli
