budget,dp,oracle,pair_agreement,pair_avg_kl_victim_to_stolen,pair_prompt_cos_sim,pair_prompt_l2_dist,seed,stolen_acc,stolen_avg_conf,stolen_f1,stolen_num_labels,stolen_pos_rate,stolen_prompt_len,stolen_prompt_norm,stolen_prompt_path,stolen_task,task,victim_acc,victim_avg_conf,victim_f1,victim_num_labels,victim_pos_rate,victim_prompt_len,victim_prompt_norm,victim_prompt_path,victim_task
200,False,probs,0.509793153944719,0.4394665801293811,0.07660549134016037,16.943105697631836,42,0.5053999633900788,0.5892635169492718,0.6712095400340715,2,0.9989017023613399,20,5.467559814453125,checkpoints/qnli/stolen_qnli_nodp_budget200_seed42_soft.pt,qnli,qnli,0.9007871133077063,0.9005018552318939,0.9022719076812117,2,0.509793153944719,20,16.460979461669922,checkpoints/qnli/victim_qnli_P20_seed42.pt,qnli
500,False,probs,0.5107084019769358,0.4540528020109424,0.0600692555308342,17.270265579223633,42,0.5055830129965221,0.6250654255844136,0.6708907030583648,2,0.9968881566904632,20,6.3063130378723145,checkpoints/qnli/stolen_qnli_nodp_budget500_seed42_soft.pt,qnli,qnli,0.9007871133077063,0.9005018552318939,0.9022719076812117,2,0.509793153944719,20,16.460979461669922,checkpoints/qnli/victim_qnli_P20_seed42.pt,qnli
200,False,probs,0.509793153944719,0.4394665801293811,0.07660549134016037,16.943105697631836,42,0.5053999633900788,0.5892635169492718,0.6712095400340715,2,0.9989017023613399,20,5.467559814453125,checkpoints/qnli/stolen_qnli_nodp_budget200_seed42_soft.pt,qnli,qnli,0.9007871133077063,0.9005018552318939,0.9022719076812117,2,0.509793153944719,20,16.460979461669922,checkpoints/qnli/victim_qnli_P20_seed42.pt,qnli
500,False,probs,0.5107084019769358,0.4540528020109424,0.0600692555308342,17.270265579223633,42,0.5055830129965221,0.6250654255844136,0.6708907030583648,2,0.9968881566904632,20,6.3063130378723145,checkpoints/qnli/stolen_qnli_nodp_budget500_seed42_soft.pt,qnli,qnli,0.9007871133077063,0.9005018552318939,0.9022719076812117,2,0.509793153944719,20,16.460979461669922,checkpoints/qnli/victim_qnli_P20_seed42.pt,qnli
1000,False,probs,0.510342302764049,0.44429088109647663,0.0766400694847107,17.144454956054688,42,0.5059491122094087,0.5978316188884178,0.6715346233418523,2,0.9987186527548966,20,6.217372894287109,checkpoints/qnli/stolen_qnli_nodp_budget1000_seed42_soft.pt,qnli,qnli,0.9007871133077063,0.9005018552318939,0.9022719076812117,2,0.509793153944719,20,16.460979461669922,checkpoints/qnli/victim_qnli_P20_seed42.pt,qnli
5000,False,probs,0.575324913051437,0.4169458756238664,0.013317902572453022,19.08674430847168,42,0.5698334248581366,0.6145922283582497,0.6909521304576539,2,0.8865092440051254,20,9.882978439331055,checkpoints/qnli/stolen_qnli_nodp_budget5000_seed42_soft.pt,qnli,qnli,0.9007871133077063,0.9005018552318939,0.9022719076812117,2,0.509793153944719,20,16.460979461669922,checkpoints/qnli/victim_qnli_P20_seed42.pt,qnli
200,False,probs,0.5352370492403441,0.4183535060776954,0.020020797848701477,12.656862258911133,43,0.5053999633900788,0.5999440680749465,0.6714494163424125,2,1.0,20,5.3314900398254395,checkpoints/qnli/stolen_qnli_nodp_budget200_seed43_soft.pt,qnli,qnli,0.8969430715723962,0.8947911584593319,0.900967458223395,2,0.5352370492403441,20,11.586408615112305,checkpoints/qnli/victim_qnli_P20_seed43.pt,qnli
500,False,probs,0.562145341387516,0.3976789010262808,0.05061226338148117,12.91939926147461,43,0.5345048508145708,0.5655714569566627,0.671743900864851,2,0.9126853377265239,20,6.3318376541137695,checkpoints/qnli/stolen_qnli_nodp_budget500_seed43_soft.pt,qnli,qnli,0.8969430715723962,0.8947911584593319,0.900967458223395,2,0.5352370492403441,20,11.586408615112305,checkpoints/qnli/victim_qnli_P20_seed43.pt,qnli
1000,False,probs,0.5356031484532309,0.42742962888389985,0.022056007757782936,13.134037971496582,43,0.5064982610287387,0.6438809546188363,0.6718597857838363,2,0.9985356031484532,20,6.446136474609375,checkpoints/qnli/stolen_qnli_nodp_budget1000_seed43_soft.pt,qnli,qnli,0.8969430715723962,0.8947911584593319,0.900967458223395,2,0.5352370492403441,20,11.586408615112305,checkpoints/qnli/victim_qnli_P20_seed43.pt,qnli
5000,False,probs,0.5667215815485996,0.4026183104877308,0.01754448004066944,15.714982032775879,43,0.538348892549881,0.6947741137523257,0.684513385038779,2,0.9578985905180304,20,10.821998596191406,checkpoints/qnli/stolen_qnli_nodp_budget5000_seed43_soft.pt,qnli,qnli,0.8969430715723962,0.8947911584593319,0.900967458223395,2,0.5352370492403441,20,11.586408615112305,checkpoints/qnli/victim_qnli_P20_seed43.pt,qnli
200,False,probs,0.5167490389895661,0.4644484627809844,-0.008675600402057171,20.31728172302246,44,0.4946000366099213,0.6604814342629357,0.0,2,0.0,20,5.256546974182129,checkpoints/qnli/stolen_qnli_nodp_budget200_seed44_soft.pt,qnli,qnli,0.8940142778693025,0.8957572778502424,0.8927976300685058,2,0.48325096101043385,20,19.5799617767334,checkpoints/qnli/victim_qnli_P20_seed44.pt,qnli
500,False,probs,0.5174812374153396,0.4308849546077071,0.00022702361457049847,20.51189422607422,44,0.49496613582280796,0.6471291845280805,0.005765765765765766,2,0.002562694490206846,20,6.1169633865356445,checkpoints/qnli/stolen_qnli_nodp_budget500_seed44_soft.pt,qnli,qnli,0.8940142778693025,0.8957572778502424,0.8927976300685058,2,0.48325096101043385,20,19.5799617767334,checkpoints/qnli/victim_qnli_P20_seed44.pt,qnli
1000,False,probs,0.5295625114406004,0.4087181702684444,-0.016470253467559814,20.673843383789062,44,0.5055830129965221,0.5836372471501621,0.07277720562993478,2,0.027823540179388616,20,6.3210768699646,checkpoints/qnli/stolen_qnli_nodp_budget1000_seed44_soft.pt,qnli,qnli,0.8940142778693025,0.8957572778502424,0.8927976300685058,2,0.48325096101043385,20,19.5799617767334,checkpoints/qnli/victim_qnli_P20_seed44.pt,qnli
5000,False,probs,0.5987552626761853,0.3967717971073802,-0.013697152957320213,21.774988174438477,44,0.5813655500640673,0.6241966445171504,0.4143405889884763,2,0.20940874977118798,20,9.263185501098633,checkpoints/qnli/stolen_qnli_nodp_budget5000_seed44_soft.pt,qnli,qnli,0.8940142778693025,0.8957572778502424,0.8927976300685058,2,0.48325096101043385,20,19.5799617767334,checkpoints/qnli/victim_qnli_P20_seed44.pt,qnli
